osm_type,osm_id,name,brand,address,city,state,country,latitude,longitude
node,11026207806,D1,,,,,CO,11.2442471,-73.5588784
node,11028924806,D1,,,,,CO,2.9534722,-75.2977278
node,11092592905,D1,,,,,CO,2.1951829,-75.6310309
node,11110251710,D1,,,,,CO,6.2765118,-75.5889148
node,11134409617,D1,D1,,,,CO,4.470093,-75.7543305
node,11207743659,D1,,,,,CO,6.2514163,-75.5704704
node,11213846663,D1,D1,,,,CO,6.2763577,-75.4404248
node,11369607870,D1,D1,Carrera 78,,,CO,4.6547886,-74.1306819
node,11396299733,D1,D1,,,,CO,4.5423707,-75.690511
node,11415711406,D1,D1,,,,CO,8.7506572,-75.8979361
node,11430337552,D1,,,,,CO,4.5094734,-74.117754
node,11438981057,D1,D1,,,,CO,6.2114096,-75.5848451
node,11453120156,D1,D1,,,,CO,4.5390737,-75.697044
node,11470934193,D1,,,,,CO,2.6403417,-76.5271915
node,11529022680,D1,,,,,CO,3.4181385,-76.5282109
node,11558340463,D1,,,,,CO,6.1428101,-75.371342
node,11569959541,D1,D1,Calle 107,Barranquilla,,CO,11.0142229,-74.8365669
node,11704933270,D1,D1,,,,CO,7.8994522,-72.5003894
node,11826600129,D1,D1,,,,CO,6.8488881,-75.8175095
node,11826601743,D1,D1,,,,CO,6.1703262,-75.6167601
node,11840407995,D1,D1,,,,CO,6.2481485,-75.5972419
node,11848885464,D1,D1,Calle 44 #95 - 53,,,CO,6.2551866,-75.6120004
node,11850570509,D1,D1,,,,CO,6.1340764,-75.6341271
node,11887891073,D1,D1,,,,CO,6.279862,-75.587235
node,11903505018,D1,D1,,,,CO,6.4913398,-74.3997701
node,11916376308,D1,D1,,,,CO,4.7238432,-74.0722392
node,11920910187,D1,D1,,,,CO,3.2572208,-76.545666
node,11961657806,D1,D1,,,,CO,6.3382044,-75.5411766
node,12077203775,D1,D1,,,,CO,3.2651574,-76.55786
node,12077656560,D1,D1,,,,CO,10.3950253,-75.4894431
node,12084033884,D1,D1,,,,CO,3.2599074,-76.5436041
node,12094353402,D1,D1,,,,CO,0.8281061,-77.6548203
node,12097361015,D1,D1,,,,CO,6.1693531,-75.3372873
node,12097361092,D1,D1,,,,CO,6.1700083,-75.3295676
node,12134272192,D1,D1,,,,CO,11.0195588,-74.8040952
node,12190982361,D1,D1,,,,CO,10.4632545,-73.2305658
node,12194334443,D1,D1,,,,CO,4.5537157,-75.6571822
node,12206122816,D1,D1,,,,CO,7.1019841,-73.1060575
node,12216445142,D1,D1,,,,CO,4.909373,-74.0277937
node,12223080754,D1,D1,,,,CO,5.0584759,-75.4830279
node,12223130207,D1,D1,,,,CO,5.0672307,-75.4886863
node,12240542724,D1,D1,,,,CO,4.9174411,-74.0233869
node,12288644004,D1,D1,,,,CO,4.512727,-76.2383518
node,12295736800,D1,D1,,,,CO,4.5371495,-75.669106
node,12312293502,D1,,,,,CO,5.0702164,-75.4945505
node,12321525838,D1,D1,,,,CO,4.7321905,-74.0450395
node,12323685749,D1,D1,,,,CO,7.0957478,-73.1083949
node,12328816459,D1,,,,,CO,6.2576365,-75.5853627
node,12343825589,D1,D1,,,,CO,7.0874769,-73.1041767
node,12351489966,D1,D1,,,,CO,7.0695096,-73.1071305
node,12364891101,D1,,Vía Aguas Claras - El Carmen de Viboral,,,CO,6.0812062,-75.3422344
node,12389258966,D1,D1,,,,CO,4.6540461,-74.0539842
node,12407913601,D1,,,,,CO,4.623212,-75.7670452
node,12421946232,D1,D1,Carrera 64 98,Barranquilla,,CO,11.0186318,-74.8221489
node,12438026001,D1,,,,,CO,11.2336942,-74.2135701
node,12438874107,D1,D1,,Oiba,,CO,6.2654971,-73.3003823
node,12449650886,D1,,,,,CO,11.0394061,-74.8252215
node,12453673620,D1,D1,,,,CO,3.4748256,-76.5002402
node,12467706585,Tiendas D1,D1,,,,CO,4.7625215,-74.0432628
node,12507585767,D1,D1,,,,CO,4.5807725,-74.2164951
node,12526854029,D1,D1,,,,CO,2.452873,-76.6024068
node,12560191501,D1,,,,,CO,11.2659841,-74.1908731
node,12563440001,D1,,,,,CO,11.2401584,-74.2112315
node,12563473601,D1,,,,,CO,11.2039523,-74.2246057
node,12578952601,D1,D1,,,,CO,1.6036909,-75.5948972
node,12587596701,D1,,,,,CO,6.149249,-75.3680137
node,12599744122,D1,D1,Calle 48C Sur,Bogotá,,CO,4.5783211,-74.1306365
node,12669305201,D1,,,,,CO,6.1931683,-75.577601
node,12706124412,D1,,,,,CO,6.2021675,-75.5566509
node,12715062599,D1,D1,,,,CO,5.0728555,-75.5201742
node,12715074503,D1,D1,,,,CO,5.0654096,-75.5056442
node,12729259012,D1,D1,,,,CO,4.7528648,-74.058282
node,12729288183,D1,D1,,,,CO,4.7498664,-74.0592223
node,12778962223,D1,D1,,,,CO,11.0158768,-74.8777403
node,12805261201,D1,,,,,CO,6.1865289,-72.4693869
node,12814753715,D1,D1,,,,CO,5.2430328,-75.7812634
node,12814753718,D1,D1,,,,CO,5.2319675,-75.7873341
node,12815823332,D1,D1,,,,CO,4.6136403,-74.2102028
node,12824607973,D1,D1,,,,CO,7.1137994,-73.1139926
node,12845275402,D1,,,,,CO,6.6355334,-73.2222022
node,12845277801,D1,,,,,CO,6.8148908,-73.2692514
node,12856635601,D1,,,,,CO,6.485487,-75.0200078
node,12865155103,D1,,,,,CO,6.2274786,-75.4907592
node,12876218801,D1,,,,,CO,6.079145,-75.634897
node,12876219001,D1,,,,,CO,6.0403611,-75.7035388
node,12879290198,D1,D1,,,,CO,6.1621097,-75.635977
node,12900521601,D1,,,,,CO,5.4052372,-75.4879825
node,12908505001,D1,,,,,CO,5.2724084,-75.4904016
node,12911735701,D1,,,,,CO,5.1678408,-75.5212896
node,12920332902,D1,,,,,CO,4.2639974,-75.9348474
node,12925063901,D1,,,,,CO,4.098387,-76.2088254
node,12942539501,D1,,,,,CO,3.4453748,-76.536326
node,12942540502,D1,,,,,CO,3.4359098,-76.5342942
node,12946730910,D1,,,,,CO,3.2419826,-76.5543546
node,12947517501,D1,,,,,CO,3.0063543,-76.4871279
node,12951170126,D1,D1,Transversal 9,Girardot,,CO,4.3159827,-74.7927511
node,12962391801,D1,,,,,CO,1.6058302,-77.1299721
node,12974296386,D1,D1,,,,CO,10.4054894,-75.4658433
node,12983434455,D1,D1,,,,CO,4.611676,-74.2016225
node,12984662902,D1,,,,,CO,0.8274754,-77.639349
node,12986984502,D1,,,,,CO,8.7329889,-75.8739857
node,12986990701,D1,,,,,CO,8.7465902,-75.8569009
node,13061076401,D1,,,,,CO,4.2059706,-74.6416938
node,13101104711,D1,D1,,,,CO,6.2235846,-75.5724642
way,268046220,Tiendas D1 - Filandia,D1,,,,CO,4.6741157,-75.6574296
way,275091515,D1,,,,,CO,6.2843193,-75.5771755
way,321917000,D1,D1,,,,CO,4.5298485,-75.6424588
way,323555437,Faster Pizza,D1,,,,CO,4.5347314,-75.6396394
way,323555442,D1,D1,,,,CO,4.5348119,-75.639615
way,330299608,D1,D1,,,,CO,4.531602,-75.692025
way,330998260,D1,D1,,,,CO,4.5391839,-75.6797397
way,340362134,D1,D1,,,,CO,4.5482831,-75.6758707
way,377765989,D1,D1,,,,CO,6.2487673,-75.6085715
way,387033316,D1,,,,,CO,3.4212209,-76.552769
way,404727647,Tiendas D1,D1,,,,CO,4.6758964,-74.1440815
way,408071335,D1,D1,,,,CO,4.725378,-74.0329077
way,410391728,D1,,,,,CO,4.7156626,-74.214945
way,412554484,D1,D1,,,,CO,4.749969,-74.0591717
