Project Name,City,State,Event / Note (optional),Polygon Exact Name,Timeframe Start,Timeframe End,Time Repitition Frame,Specific Day,OverNight Timelap,TimeZone,UTC Time,Start Time (empty= All Day),End Time (empty= All Day)
Dr Simi - Houston,Houston,Texas,,*Cambian Cheques Aldine,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*Placita Hispana Aldine,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Activaciones Mexicanas North Houston,6/22/2025,7/6/2025,Specific,Sundays,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Houston Federation of Teachers,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,WTS Gulfgate Riverview Houston,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,Salón de Eventos Northside Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,El Ahorro #14 Northside,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston II,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston III,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston X,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston XI,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston XI,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston XII,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston XIII,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston XIV,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Mini Mercado de Pulgas Northside,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Placita Hispana Permanente Northside Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector permanente Northside Houston XXV,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston XXVII,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Cosméticos Northside Houston Permanente,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Minisector Permanente Northside Houston XXVIII,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
