osm_id,osm_type,name,brand,operator,addr_full,addr_street,addr_housenumber,addr_city,addr_state,addr_postcode,opening_hours,phone,website,lat,lon,source,street_address,city,page_url
7254330126,node,D1,D1,,,Calle 62 Sur,,Sabaneta,,,,,,6.1551054,-75.6116358,osm,,,
7330357472,node,D1,D1,,,,,,,,,,,6.2692883,-75.5442112,osm,,,
7330654174,node,D1,D1,D1,,,,,,,,,,6.2847585,-75.5593661,osm,,,
7333188688,node,D1,D1,,,,,,,,,,,6.2665493,-75.5657513,osm,,,
7337305663,node,D1,D1,,,,,,,,,,,6.2622908,-75.5951286,osm,,,
7337305677,node,D1,D1,,,,,,,,,,,6.2657708,-75.5933184,osm,,,
7337374705,node,D1,D1,,,,,,,,,,,6.2374837,-75.5965271,osm,,,
7348952139,node,Tienda D1,,,,,,,,,,,,6.3055651,-75.5679329,osm,,,
7352018616,node,D1,D1,,,,,,,,,,,6.2026488,-75.6012408,osm,,,
7353455547,node,D1,,,,,,,,,"Mo-Su,PH 08:00-21:00",,,6.2637556,-75.571336,osm,,,
7428354585,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7017049,-74.11731,osm,,,
7435510854,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7097815,-74.2153305,osm,,,
7490756593,node,D1,,,,,,,,,,,,2.123153,-76.9791007,osm,,,
7644742463,node,Tienda D1,,,,,,,,,,,,4.116658,-73.5890164,osm,,,
7667718598,node,TIENDAS D1,,,"Cra. 15 #10-1 #10-99 a, Caicedonia, Valle del Cauca, Colombia",,,Caicedonia,,762540,,,,4.3333487,-75.8290704,osm,,,
7692609920,node,D1,D1,,,,,,,,,,,11.0217109,-74.8624835,osm,,,
7706077629,node,D1,D1,,,,,,,,,,,6.2249124,-75.5967628,osm,,,
7717189785,node,,,JC D11-4,,,,,,,,,,4.8843187,-74.0283002,osm,,,
7938549360,node,Tienda D1,,,,,,,,,,,,2.5693103,-72.6448068,osm,,,
8132345536,node,D1,,,,,,,,,,,,2.4852465,-76.5819442,osm,,,
8255890959,node,D1,D1,,,,,,,,"PH,Mo-Su 08:00-21:00+",,,12.5783098,-81.7008429,osm,,,
8270601141,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6803482,-74.1357653,osm,,,
